date,home_team,away_team,home_score,away_score,predicted_home_goals,predicted_away_goals,predicted_result,actual_result,correct_outcome,exact_score,goal_diff_error
2025-06-28,Panama,Honduras,1,1,2,1,team1,draw,False,False,1.0
2025-06-28,Mexico,Saudi Arabia,2,0,2,0,team1,team1,True,True,0.0
2025-06-29,Canada,Guatemala,1,1,3,0,team1,draw,False,False,3.0
2025-06-29,United States,Costa Rica,2,2,2,1,team1,draw,False,False,1.0
2025-07-01,Tamil Eelam,Tibet,4,0,3,0,team1,team1,True,False,1.0
2025-07-02,United States,Guatemala,2,1,3,0,team1,team1,True,False,2.0
2025-07-02,Mexico,Honduras,1,0,3,0,team1,team1,True,False,2.0
2025-07-02,Tamil Eelam,East Turkestan,2,1,1,1,draw,team1,False,False,1.0
2025-07-03,Tibet,East Turkestan,4,6,0,3,team2,team2,True,False,1.0
2025-07-04,Tamil Eelam,East Turkestan,5,0,1,1,draw,team1,False,False,5.0
2025-07-06,United States,Mexico,1,2,1,2,team2,team2,True,True,0.0
2025-07-13,Hitra,Isle of Man,2,7,0,3,team2,team2,True,False,2.0
2025-07-13,Orkney,Frøya,3,0,2,1,team1,team1,True,False,2.0
2025-07-13,Gozo,Shetland,0,0,1,1,draw,draw,True,False,0.0
2025-07-14,Orkney,Hitra,3,2,2,1,team1,team1,True,False,0.0
2025-07-14,Isle of Man,Frøya,10,1,3,0,team1,team1,True,False,6.0
2025-07-14,Jersey,Gozo,2,0,2,1,team1,team1,True,False,1.0
2025-07-14,Ynys Môn,Western Isles,1,0,2,1,team1,team1,True,False,0.0
2025-07-15,Orkney,Isle of Man,1,3,0,2,team2,team2,True,False,0.0
2025-07-15,Frøya,Hitra,0,6,1,1,draw,team2,False,False,6.0
2025-07-15,Jersey,Shetland,2,2,2,1,team1,draw,False,False,1.0
2025-07-17,Hitra,Frøya,3,0,1,1,draw,team1,False,False,3.0
2025-07-17,Gozo,Western Isles,3,3,2,1,team1,draw,False,False,1.0
2025-07-17,Orkney,Shetland,3,2,1,2,team2,team1,False,False,2.0
2025-07-17,Isle of Man,Ynys Môn,0,1,2,1,team1,team2,False,False,2.0
