team1,team2,group,ground,team1_goals,team2_goals,prob_team1,prob_draw,prob_team2,result,rating1,rating2,host_country,round,points1,points2
Mexico,South Africa,Group A,Mexico City,2,0,0.676993174274891,0.21606540903227364,0.10694141669283534,team1,1687.481759,1428.379282,Mexico,Matchday 1,3,0
South Korea,Czech Republic,Group A,Guadalajara (Zapopan),2,1,0.5379180126144982,0.24620340784448136,0.21587857954102035,team1,1591.630886,1505.737856,Mexico,Matchday 1,3,0
Czech Republic,Mexico,Group A,Mexico City,0,2,0.1565246169495544,0.2292481662097756,0.6142272168406699,team2,1505.737856,1687.481759,Mexico,Matchday 14,0,3
South Africa,South Korea,Group A,Monterrey (Guadalupe),1,2,0.15369664334863106,0.22848206881594935,0.6178212878354196,team2,1428.379282,1591.630886,Mexico,Matchday 14,0,3
Czech Republic,South Africa,Group A,Atlanta,1,1,0.45196023477748554,0.26787838039365963,0.28016138482885483,draw,1505.737856,1428.379282,USA,Matchday 8,1,1
Mexico,South Korea,Group A,Guadalajara (Zapopan),2,1,0.4469369296460438,0.26926700509218127,0.2837960652617749,team1,1687.481759,1591.630886,Mexico,Matchday 8,3,0
Bosnia & Herzegovina,Qatar,Group B,Seattle,1,1,0.30770552984525357,0.2790217574348714,0.41327271271987503,draw,1387.215771,1450.307729,USA,Matchday 14,1,1
Switzerland,Canada,Group B,Vancouver,1,1,0.44864467744364867,0.2687931122145651,0.2825622103417863,draw,1650.064179,1559.479301,Canada,Matchday 14,1,1
Canada,Bosnia & Herzegovina,Group B,Toronto,2,0,0.6747427120205824,0.2165347484869616,0.10872253949245589,team1,1559.479301,1387.215771,Canada,Matchday 2,3,0
Qatar,Switzerland,Group B,San Francisco Bay Area (Santa Clara),0,2,0.094429620802077,0.21276082051227338,0.6928095586856496,team2,1450.307729,1650.064179,USA,Matchday 3,0,3
Canada,Qatar,Group B,Vancouver,2,0,0.6377154430294125,0.2242748132532282,0.13800974371735927,team1,1559.479301,1450.307729,Canada,Matchday 8,3,0
Switzerland,Bosnia & Herzegovina,Group B,Los Angeles (Inglewood),3,0,0.7199080171124762,0.20703361685111413,0.07305836603640967,team1,1650.064179,1387.215771,USA,Matchday 8,3,0
Morocco,Haiti,Group C,Atlanta,4,0,0.791757783427103,0.19021230693957497,0.018029909633322096,team1,1755.100232,1293.096585,USA,Matchday 14,3,0
Scotland,Brazil,Group C,Miami (Miami Gardens),0,3,0.05141863441225343,0.20098209055186178,0.7475992750358849,team2,1503.34027,1765.856297,USA,Matchday 14,0,3
Brazil,Morocco,Group C,New York/New Jersey (East Rutherford),1,1,0.3688080769305986,0.2933389349706663,0.3378529880987351,draw,1765.856297,1755.100232,USA,Matchday 3,1,1
Haiti,Scotland,Group C,Boston (Foxborough),1,2,0.1779917519077592,0.23516380692686828,0.5868444411653725,team2,1293.096585,1503.34027,USA,Matchday 3,0,3
Brazil,Haiti,Group C,Philadelphia,4,0,0.793795450489075,0.1896454332677081,0.016559116243216893,team1,1765.856297,1293.096585,USA,Matchday 9,3,0
Scotland,Morocco,Group C,Boston (Foxborough),0,3,0.05571463357145456,0.20221523315774118,0.7420701332708043,team2,1503.34027,1755.100232,USA,Matchday 9,0,3
Paraguay,Australia,Group D,San Francisco Bay Area (Santa Clara),1,2,0.18733581438283492,0.23780533846020335,0.5748588471569618,team2,1505.349689,1579.34264,USA,Matchday 15,0,3
Turkey,USA,Group D,Los Angeles (Inglewood),1,2,0.30282447497908505,0.27693393405515265,0.42024159096576236,team2,1605.730921,1671.2341,USA,Matchday 15,0,3
USA,Paraguay,Group D,Los Angeles (Inglewood),2,0,0.6170612316578324,0.22864390638395427,0.15429486195821326,team1,1671.2341,1505.349689,USA,Matchday 2,3,0
Australia,Turkey,Group D,Vancouver,1,1,0.36346598369077804,0.29519014986398046,0.34134386644524156,draw,1579.34264,1605.730921,Canada,Matchday 3,1,1
Turkey,Paraguay,Group D,San Francisco Bay Area (Santa Clara),2,1,0.5640535645861763,0.24021904323777132,0.19572739217605237,team1,1605.730921,1505.349689,USA,Matchday 9,3,0
USA,Australia,Group D,Seattle,1,1,0.4068464095435949,0.2809814823607207,0.31217210809568446,draw,1671.2341,1579.34264,USA,Matchday 9,1,1
Ecuador,Curaçao,Group E,Kansas City,2,0,0.7002063880235666,0.2112085825985629,0.08858502937787045,team1,1598.51582,1294.76909,USA,Matchday 10,3,0
Germany,Ivory Coast,Group E,Toronto,2,1,0.6138385611556669,0.22933113682112327,0.1568303020232098,team1,1735.771984,1540.869533,Canada,Matchday 10,3,0
Curaçao,Ivory Coast,Group E,Philadelphia,0,2,0.09776752511890827,0.21364432376272338,0.6885881511183684,team2,1294.76909,1540.869533,USA,Matchday 15,0,3
Ecuador,Germany,Group E,New York/New Jersey (East Rutherford),1,2,0.1708760195637724,0.2331812918305845,0.5959426886056431,team2,1598.51582,1735.771984,USA,Matchday 15,0,3
Germany,Curaçao,Group E,Houston,4,0,0.7779487445303833,0.1938309394899423,0.028220315979674455,team1,1735.771984,1294.76909,USA,Matchday 4,3,0
Ivory Coast,Ecuador,Group E,Philadelphia,1,1,0.3339276489917393,0.2913123847647935,0.37475996624346714,draw,1540.869533,1598.51582,USA,Matchday 4,1,1
Netherlands,Sweden,Group F,Houston,3,0,0.7140904067493823,0.20827424233351055,0.07763535091710716,team1,1753.571899,1509.785392,USA,Matchday 10,3,0
Tunisia,Japan,Group F,Monterrey (Guadalupe),0,2,0.10939638031168823,0.21671228207608842,0.6738913376122233,team2,1476.405088,1661.576187,Mexico,Matchday 10,0,3
Japan,Sweden,Group F,Dallas (Arlington),2,0,0.6788371351514477,0.21568075789301214,0.10548210695554017,team1,1661.576187,1509.785392,USA,Matchday 15,3,0
Tunisia,Netherlands,Group F,Kansas City,0,2,0.08066970987455138,0.20909164550674547,0.7102386446187031,team2,1476.405088,1753.571899,USA,Matchday 15,0,3
Netherlands,Japan,Group F,Dallas (Arlington),1,1,0.4265000673955845,0.275090723414419,0.2984092091899965,draw,1753.571899,1661.576187,USA,Matchday 4,1,1
