team1,team2,group,ground,team1_goals,team2_goals,prob_team1,prob_draw,prob_team2,result,rating1,rating2,host_country,round,points1,points2
Mexico,South Africa,Group A,Mexico City,4,0,0.6923794496361777,0.21285090709469306,0.09476964326912922,team1,1687.481759,1428.379282,Mexico,Matchday 1,3,0
South Korea,Czech Republic,Group A,Guadalajara (Zapopan),2,3,0.4889789548570629,0.2581028535087608,0.2529181916341763,team2,1591.630886,1505.737856,Mexico,Matchday 1,0,3
Czech Republic,Mexico,Group A,Mexico City,2,2,0.15326289430529522,0.22836479764839884,0.6183723080463058,draw,1505.737856,1687.481759,Mexico,Matchday 14,1,1
South Africa,South Korea,Group A,Monterrey (Guadalupe),1,2,0.17040161456127034,0.2330499394021896,0.59654844603654,team2,1428.379282,1591.630886,Mexico,Matchday 14,0,3
Czech Republic,South Africa,Group A,Atlanta,2,1,0.47575503857189116,0.26150781235603227,0.26273714907207657,team1,1505.737856,1428.379282,USA,Matchday 8,3,0
Mexico,South Korea,Group A,Guadalajara (Zapopan),1,0,0.5041249152399403,0.2543093940499479,0.24156569071011183,team1,1687.481759,1591.630886,Mexico,Matchday 8,3,0
Bosnia & Herzegovina,Qatar,Group B,Seattle,1,2,0.27925204253713626,0.26753440821262986,0.4532135492502338,team2,1387.215771,1450.307729,USA,Matchday 14,0,3
Switzerland,Canada,Group B,Vancouver,1,0,0.49615519491801435,0.25629194425100443,0.24755286083098121,team1,1650.064179,1559.479301,Canada,Matchday 14,3,0
Canada,Bosnia & Herzegovina,Group B,Toronto,4,1,0.6073853039982748,0.23071258439832196,0.16190211160340323,team1,1559.479301,1387.215771,Canada,Matchday 2,3,0
Qatar,Switzerland,Group B,San Francisco Bay Area (Santa Clara),3,2,0.13772619326576707,0.2241993239086399,0.638074482825593,team1,1450.307729,1650.064179,USA,Matchday 3,3,0
Canada,Qatar,Group B,Vancouver,0,1,0.5238547737362069,0.24952134882795252,0.2266238774358406,team2,1559.479301,1450.307729,Canada,Matchday 8,0,3
Switzerland,Bosnia & Herzegovina,Group B,Los Angeles (Inglewood),5,4,0.6952881033037833,0.21224134718117613,0.09247054951504048,team1,1650.064179,1387.215771,USA,Matchday 8,3,0
Morocco,Haiti,Group C,Atlanta,2,0,0.7854372435409912,0.19191113298566714,0.02265162347334171,team1,1755.100232,1293.096585,USA,Matchday 14,3,0
Scotland,Brazil,Group C,Miami (Miami Gardens),0,4,0.09267265568595229,0.21229497378608192,0.6950323705279657,team2,1503.34027,1765.856297,USA,Matchday 14,0,3
Brazil,Morocco,Group C,New York/New Jersey (East Rutherford),2,3,0.36771026298687204,0.293716830781396,0.338572906231732,team2,1765.856297,1755.100232,USA,Matchday 3,0,3
Haiti,Scotland,Group C,Boston (Foxborough),3,0,0.12921867526424266,0.22194139630265186,0.6488399284331055,team1,1293.096585,1503.34027,USA,Matchday 3,3,0
Brazil,Haiti,Group C,Philadelphia,6,0,0.787793259503182,0.1912874691178818,0.020919271378936115,team1,1765.856297,1293.096585,USA,Matchday 9,3,0
Scotland,Morocco,Group C,Boston (Foxborough),0,2,0.09941346418035604,0.21407936035238015,0.6865071754672638,team2,1503.34027,1755.100232,USA,Matchday 9,0,3
Paraguay,Australia,Group D,San Francisco Bay Area (Santa Clara),4,4,0.2666253065576672,0.2628910411197433,0.4704836523225895,draw,1505.349689,1579.34264,USA,Matchday 15,1,1
Turkey,USA,Group D,Los Angeles (Inglewood),3,2,0.2764567598939601,0.2664854202563846,0.45705781984965527,team1,1605.730921,1671.2341,USA,Matchday 15,3,0
USA,Paraguay,Group D,Los Angeles (Inglewood),2,3,0.5997537846080853,0.23235616459980404,0.16789005079211075,team2,1671.2341,1505.349689,USA,Matchday 2,0,3
Australia,Turkey,Group D,Vancouver,5,4,0.3213445597011885,0.2851670814941295,0.39348835880468197,team1,1579.34264,1605.730921,Canada,Matchday 3,3,0
Turkey,Paraguay,Group D,San Francisco Bay Area (Santa Clara),3,1,0.5109061672709068,0.25264507397144403,0.23644875875764912,team1,1605.730921,1505.349689,USA,Matchday 9,3,0
USA,Australia,Group D,Seattle,4,0,0.49814114222596134,0.25579516033464367,0.246063697439395,team1,1671.2341,1579.34264,USA,Matchday 9,3,0
Ecuador,Curaçao,Group E,Kansas City,2,3,0.7234291537563577,0.206278683383055,0.07029216286058731,team2,1598.51582,1294.76909,USA,Matchday 10,0,3
Germany,Ivory Coast,Group E,Toronto,2,0,0.632916380317088,0.2252851646545276,0.14179845502838437,team1,1735.771984,1540.869533,Canada,Matchday 10,3,0
Curaçao,Ivory Coast,Group E,Philadelphia,1,4,0.10311868318242111,0.21505749849825512,0.6818238183193237,team2,1294.76909,1540.869533,USA,Matchday 15,0,3
Ecuador,Germany,Group E,New York/New Jersey (East Rutherford),3,2,0.19639674206697003,0.2404133992836583,0.5631898586493717,team1,1598.51582,1735.771984,USA,Matchday 15,3,0
Germany,Curaçao,Group E,Houston,2,0,0.7803296998441671,0.19322987159891114,0.026440428556921747,team1,1735.771984,1294.76909,USA,Matchday 4,3,0
Ivory Coast,Ecuador,Group E,Philadelphia,0,0,0.2855639127325642,0.2699505709491381,0.4444855163182977,draw,1540.869533,1598.51582,USA,Matchday 4,1,1
Netherlands,Sweden,Group F,Houston,5,0,0.6798690371297234,0.21546545796704125,0.10466550490323541,team1,1753.571899,1509.785392,USA,Matchday 10,3,0
